Item,Instruction_1,Instruction_2,Instruction_3,Category
shower walls,This item is not collected at curbside.,Take this item for disposal as garbage to one of the City's Drop-Off Depots. Disposal fees may apply.,,Depot
jacuzzi,This item is not collected at curbside.,"If item is less than 4 square feet, then take it to one of the City's Drop-Off Depots.",,Depot
vanity (non-metal),This item is not collected at curbside.,Take this item for disposal as garbage to one of the City's Drop-Off Depots. Disposal fees may apply.,,Depot
counter top,This item is not collected at curbside.,Take this item for disposal as garbage to one of the City's Drop-Off Depots. Disposal fees may apply.,,Depot
countertop,This item is not collected at curbside.,Take this item for disposal as garbage to one of the City's Drop-Off Depots. Disposal fees may apply.,,Depot
kitchen cabinet,This item is not collected at curbside.,Take this item for disposal as garbage to one of the City's Drop-Off Depots. Disposal fees may apply.,,Depot
kitchen cupboards,This item is not collected at curbside.,Take this item for disposal as garbage to one of the City's Drop-Off Depots. Disposal fees may apply.,,Depot
lumber,This item is not collected at curbside.,"If less than 1.2 meters (4 feet) in length, item can be taken to one of the City's Drop-Off Depots.",,Depot
wood,This item is not collected at curbside.,"If less than 1.2 meters (4 feet) in length, item can be taken to one of the City's Drop-Off Depots.","If longer than 1.2 meters (4 feet), make arrangements with private company specializing in disposing of this type of waste.",Depot
skids/shipping pallets,This item is not collected at curbside.,Take this item for disposal as garbage to one of the City's Drop-Off Depots. Disposal fees may apply.,,Depot
pressure treated wood,This item is not collected at curbside.,Take this item for disposal as garbage to one of the City's Drop-Off Depots. Disposal fees may apply.,,Depot
ceiling tiles,This item is not collected at curbside.,Take this item for disposal as garbage to one of the City's Drop-Off Depots. Disposal fees may apply.,,Depot
wood panelling,This item is not collected at curbside.,Take this item for disposal as garbage to one of the City's Drop-Off Depots. Disposal fees may apply.,,Depot
plywood,This item is not collected at curbside.,Take this item for disposal as garbage to one of the City's Drop-Off Depots. Disposal fees may apply.,,Depot
fencing,This item is not collected at curbside.,Take this item for disposal as garbage to one of the City's Drop-Off Depots. Disposal fees may apply.,,Depot
baseboards,This item is not collected at curbside.,Take this item for disposal as garbage to one of the City's Drop-Off Depots. Disposal fees may apply.,,Depot
quarter rounds,This item is not collected at curbside.,Take this item for disposal as garbage to one of the City's Drop-Off Depots. Disposal fees may apply.,,Depot
plastic baseboard,This item is not collected at curbside.,Take this item for disposal as garbage to one of the City's Drop-Off Depots. Disposal fees may apply.,,Depot
particle board,This item is not collected at curbside.,Take this item for disposal as garbage to one of the City's Drop-Off Depots. Disposal fees may apply.,,Depot
particleboard,This item is not collected at curbside.,Take this item for disposal as garbage to one of the City's Drop-Off Depots. Disposal fees may apply.,,Depot
chipboard,This item is not collected at curbside.,Take this item for disposal as garbage to one of the City's Drop-Off Depots. Disposal fees may apply.,,Depot
Masonite,This item is not collected at curbside.,Take this item for disposal as garbage to one of the City's Drop-Off Depots. Disposal fees may apply.,,Depot
aluminum siding,This item is not collected at curbside.,Take this item for disposal as garbage to one of the City's Drop-Off Depots. Disposal fees may apply.,,Depot
vinyl siding,This item is not collected at curbside.,Take this item for disposal as garbage to one of the City's Drop-Off Depots. Disposal fees may apply.,,Depot
shingles,This item is not collected at curbside.,Take this item for disposal as garbage to one of the City's Drop-Off Depots. Disposal fees may apply.,,Depot
roof shingles,This item is not collected at curbside.,Take this item for disposal as garbage to one of the City's Drop-Off Depots. Disposal fees may apply.,,Depot
saw dust,This item is not collected at curbside.,Take this item for disposal as garbage to one of the City's Drop-Off Depots. Disposal fees may apply.,,Depot
sawdust,This item is not collected at curbside.,Take this item for disposal as garbage to one of the City's Drop-Off Depots. Disposal fees may apply.,,Depot
gazebo,This item is not collected at curbside.,Take this item for disposal as garbage to one of the City's Drop-Off Depots. Disposal fees may apply.,,Depot
awning,This item is not collected at curbside.,Take this item for disposal as garbage to one of the City's Drop-Off Depots. Disposal fees may apply.,,Depot
garage door opener motor,This item is not collected at curbside.,Take this item for disposal as garbage to one of the City's Drop-Off Depots. Disposal fees may apply.,,Depot
garage door rails,This item is not collected at curbside.,Take this item for disposal as garbage to one of the City's Drop-Off Depots. Disposal fees may apply.,,Depot
vermiculite insulation,This type of waste is not accepted by the City of Toronto.,It is not collected at the curb and cannot be dropped off at a City Drop-Off Depot or Community Environment Day.,Please make arrangements with a private company to dispose of this item.,Not Accepted
handheld point-of-sale (POS) terminals/devices,"Consider donating reusable items. Otherwise, place in a clear plastic bag or open cardboard box and on the ground 0.5 m (2 ft) from your Garbage Bin.",Apartment/condo residents should take electronics to their building’s drop-off area.,Electronics can also be taken to Drop-Off Depots or Community Environment Days.,Electronic Waste
ductile foam sheets,This item is not collected at curbside.,Take this item for disposal as garbage to one of the City's Drop-Off Depots. Disposal fees may apply.,,Depot
polystyrene rigid insulation,This item is not collected at curbside.,Take this item for disposal as garbage to one of the City's Drop-Off Depots. Disposal fees may apply.,,Depot
Styrofoam insulation,This item is not collected at curbside.,Take this item for disposal as garbage to one of the City's Drop-Off Depots. Disposal fees may apply.,,Depot
eavestrough,This item is not collected at curbside.,Take this item for disposal as garbage to one of the City's Drop-Off Depots. Disposal fees may apply.,,Depot
downspout,This item is not collected at curbside.,Take this item for disposal as garbage to one of the City's Drop-Off Depots. Disposal fees may apply.,,Depot
drywall,This item is not collected at curbside.,"Clean construction drywall, including painted, papered or vinyl covered, is accepted at certain Drop-Off Depots (Bermondsey, Commissioners, Ingram).",,Depot
gyp rock,This item is not collected at curbside.,Take this item for disposal as garbage to one of the City's Drop-Off Depots. Disposal fees may apply.,,Depot
gyprock,This item is not collected at curbside.,Take this item for disposal as garbage to one of the City's Drop-Off Depots. Disposal fees may apply.,,Depot
plaster,This item is not collected at curbside.,Take this item for disposal as garbage to one of the City's Drop-Off Depots. Disposal fees may apply.,,Depot
car seat,This item is not collected at curbside.,Take this item for disposal as garbage to one of the City's Drop-Off Depots. Disposal fees may apply.,,Depot
x-ray plate,Take this item for disposal as garbage to one of the City's Drop-Off Depots. Disposal fees may apply.,,,Depot
pool tarp,This item is not collected at curbside.,Take this item for disposal as garbage to one of the City's Drop-Off Depots. Disposal fees may apply.,,Depot
pool cover,This item is not collected at curbside.,Take this item for disposal as garbage to one of the City's Drop-Off Depots. Disposal fees may apply.,,Depot
pool liner,This item is not collected at curbside.,Take this item for disposal as garbage to one of the City's Drop-Off Depots. Disposal fees may apply.,,Depot
vinyl pool liner,This item is not collected at curbside.,Take this item for disposal as garbage to one of the City's Drop-Off Depots. Disposal fees may apply.,,Depot
hot tub cover,This item is not collected at curbside.,Take this item for disposal as garbage to one of the City's Drop-Off Depots. Disposal fees may apply.,,Depot
pool blanket,This item is not collected at curbside.,Take this item for disposal as garbage to one of the City's Drop-Off Depots. Disposal fees may apply.,,Depot
windsurf board,This item is not collected at curbside.,Take this item for disposal as garbage to one of the City's Drop-Off Depots. Disposal fees may apply.,,Depot
computer charging cables/computer chargers,"Consider donating reusable items. Otherwise, place in a clear plastic bag or open cardboard box and on the ground 0.5 m (2 ft) from your Garbage Bin.",Apartment/condo residents should take electronics to their building’s drop-off area.,Electronics can also be taken to Drop-Off Depots or Community Environment Days.,Electronic Waste
hard hats,Consider donating reusable items to non-profit organizations.,"Alternatively, place this item in the garbage.",,Garbage Bin
"menstrual pad (fabric, reusable)",Place this item in the Garbage Bin.,,,Garbage Bin
railroad/railway ties,This item is not collected at curbside.,"If less than 1.2 meters (4 feet) in length, item can be taken to one of the City's Drop-Off Depots.",,Depot
tires (passenger vehicle tires),City of Toronto residents can drop off up to 10 passenger and light truck tires per day free of charge at some Drop-Off Depots.,"Only passenger and light truck tires will be accepted. All other tire types (e.g., heavy truck, forklift and large off-road tires) will not be accepted.",Check the Resource Productivity & Recovery Authority website (rpra.ca/programs/tires/collectionsites/) for other tire collection sites.,Depot
passenger vehicle tires/car tires,City of Toronto residents can drop off up to 10 passenger and light truck tires per day free of charge at some Drop-Off Depots.,"Only passenger and light truck tires will be accepted. All other tire types (e.g., heavy truck, forklift and large off-road tires) will not be accepted.",Check the Resource Productivity & Recovery Authority website (rpra.ca/programs/tires/collectionsites/) for other tire collection sites.,Depot
carton pull tabs/carton pull-rings,Place this item in the Garbage Bin.,,,Garbage Bin
small truck tires/light truck tires,City of Toronto residents can drop off up to 10 passenger and light truck tires per day free of charge at some Drop-Off Depots.,"Only passenger and light truck tires will be accepted. All other tire types (e.g., heavy truck, forklift and large off-road tires) will not be accepted.",Check the Resource Productivity & Recovery Authority website (rpra.ca/programs/tires/collectionsites/) for other tire collection sites.,Depot
used cooking oil/olive oil/vegetable oil (large amount),"Never pour down the sink, drain or toilet because it can cause sewer backups in your home and neighbourhood.","Bring this item to a City Drop-Off Depot or Community Environment Day in any container that has a lid, is securely closed and can be left behind.","For HHW from 10-50 L/kg, you can request a free Toxic Taxi pickup online or by calling 311. In an apartment/condo, building staff need to request pickup.",HHW
deep fryer oil,"Never pour down the sink, drain or toilet because it can cause sewer backups in your home and neighbourhood.","Bring this item to a City Drop-Off Depot or Community Environment Day in any container that has a lid, is securely closed and can be left behind.","For HHW from 10-50 L/kg, you can request a free Toxic Taxi pickup online or by calling 311. In an apartment/condo, building staff need to request pickup.",HHW
TV remote controls,"Consider donating reusable items. Otherwise, place in a clear plastic bag or open cardboard box and on the ground 0.5 m (2 ft) from your Garbage Bin.",Apartment/condo residents should take electronics to their building’s drop-off area.,Electronics can also be taken to Drop-Off Depots or Community Environment Days.,Electronic Waste
hot tubs,This item is not collected at curbside.,"If item is less than 4 square feet, then take it to one of the City's Drop-Off Depots.",,Depot
telephone answering machines,"Consider donating reusable items. Otherwise, place in a clear plastic bag or open cardboard box and on the ground 0.5 m (2 ft) from your Garbage Bin.",Apartment/condo residents should take electronics to their building’s drop-off area.,Electronics can also be taken to Drop-Off Depots or Community Environment Days.,Electronic Waste
Blu-ray players,"Consider donating reusable items. Otherwise, set item out on the ground on garbage collection day 0.5 metre (2 feet) away from your Garbage Bin.",Apartment/condo residents should take electronics to their building’s drop-off area.,Electronics can also be taken to Drop-Off Depots or Community Environment Days.,Electronic Waste
"cameras (analog/film, digital)","Consider donating reusable items. Otherwise, place in a clear plastic bag or open cardboard box and on the ground 0.5 m (2 ft) from your Garbage Bin.",Apartment/condo residents should take electronics to their building’s drop-off area.,Electronics can also be taken to Drop-Off Depots or Community Environment Days.,Electronic Waste
audio/voice recorders,"Consider donating reusable items. Otherwise, place in a clear plastic bag or open cardboard box and on the ground 0.5 m (2 ft) from your Garbage Bin.",Apartment/condo residents should take electronics to their building’s drop-off area.,Electronics can also be taken to Drop-Off Depots or Community Environment Days.,Electronic Waste
baby monitors/receivers,"Consider donating reusable items. Otherwise, place in a clear plastic bag or open cardboard box and on the ground 0.5 m (2 ft) from your Garbage Bin.",Apartment/condo residents should take electronics to their building’s drop-off area.,Electronics can also be taken to Drop-Off Depots or Community Environment Days.,Electronic Waste
cell phones/cellular/mobile phones,"Consider donating reusable items. Otherwise, place in a clear plastic bag or open cardboard box and on the ground 0.5 m (2 ft) from your Garbage Bin.",Apartment/condo residents should take electronics to their building’s drop-off area.,Electronics can also be taken to Drop-Off Depots or Community Environment Days.,Electronic Waste
cell phone cases,Consider donating reusable items.,"Alternatively, this item should be placed in the Garbage Bin.",,Garbage Bin
handheld video game systems,"Consider donating reusable items. Otherwise, place in a clear plastic bag or open cardboard box and on the ground 0.5 m (2 ft) from your Garbage Bin.",Apartment/condo residents should take electronics to their building’s drop-off area.,Electronics can also be taken to Drop-Off Depots or Community Environment Days.,Electronic Waste
karaoke machines,"Consider donating reusable items. Otherwise, set item out on the ground on garbage collection day 0.5 metre (2 feet) away from your Garbage Bin.",Apartment/condo residents should take electronics to their building’s drop-off area.,Electronics can also be taken to Drop-Off Depots or Community Environment Days.,Electronic Waste
smartphones,"Consider donating reusable items. Otherwise, place in a clear plastic bag or open cardboard box and on the ground 0.5 m (2 ft) from your Garbage Bin.",Apartment/condo residents should take electronics to their building’s drop-off area.,Electronics can also be taken to Drop-Off Depots or Community Environment Days.,Electronic Waste
CD (Compact Disc) players,Consider donating reusable items to non-profit organizations.,"Alternatively, set item out on the ground on Garbage collection day 0.5 metre (2 feet) away from your Garbage Bin. Residents of apartments/condos should take electronics to their building’s designated drop-off area.",Electronics can also be taken to Drop-Off Depots or Community Environment Days.,Electronic Waste
Bluetooth adapters/dongles,"Consider donating reusable items. Otherwise, place in a clear plastic bag or open cardboard box and on the ground 0.5 m (2 ft) from your Garbage Bin.",Apartment/condo residents should take electronics to their building’s drop-off area.,Electronics can also be taken to Drop-Off Depots or Community Environment Days.,Electronic Waste
computers (desktop/portable),"Consider donating reusable items. Otherwise, set item out on the ground on garbage collection day 0.5 metre (2 feet) away from your Garbage Bin.",Apartment/condo residents should take electronics to their building’s drop-off area.,Electronics can also be taken to Drop-Off Depots or Community Environment Days.,Electronic Waste
digital media (e.g. MP3) players/readers,"Consider donating reusable items. Otherwise, place in a clear plastic bag or open cardboard box and on the ground 0.5 m (2 ft) from your Garbage Bin.",Apartment/condo residents should take electronics to their building’s drop-off area.,Electronics can also be taken to Drop-Off Depots or Community Environment Days.,Electronic Waste
electronic metronomes,"Consider donating reusable items. Otherwise, place in a clear plastic bag or open cardboard box and on the ground 0.5 m (2 ft) from your Garbage Bin.",Apartment/condo residents should take electronics to their building’s drop-off area.,Electronics can also be taken to Drop-Off Depots or Community Environment Days.,Electronic Waste
desktop/tower servers,"Consider donating reusable items. Otherwise, set item out on the ground on garbage collection day 0.5 metre (2 feet) away from your Garbage Bin.",Apartment/condo residents should take electronics to their building’s drop-off area.,Electronics can also be taken to Drop-Off Depots or Community Environment Days.,Electronic Waste
microphones (wired/wireless),"Consider donating reusable items. Otherwise, place in a clear plastic bag or open cardboard box and on the ground 0.5 m (2 ft) from your Garbage Bin.",Apartment/condo residents should take electronics to their building’s drop-off area.,Electronics can also be taken to Drop-Off Depots or Community Environment Days.,Electronic Waste
computer speakers,"Consider donating reusable items. Otherwise, place in a clear plastic bag or open cardboard box and on the ground 0.5 m (2 ft) from your Garbage Bin.",Apartment/condo residents should take electronics to their building’s drop-off area.,Electronics can also be taken to Drop-Off Depots or Community Environment Days.,Electronic Waste
computer accessories/peripherals,"Consider donating reusable items. Otherwise, place in a clear plastic bag or open cardboard box and on the ground 0.5 m (2 ft) from your Garbage Bin.",Apartment/condo residents should take electronics to their building’s drop-off area.,Electronics can also be taken to Drop-Off Depots or Community Environment Days.,Electronic Waste
computer keyboards,"Consider donating reusable items. Otherwise, set item out on the ground on garbage collection day 0.5 metre (2 feet) away from your Garbage Bin.",Apartment/condo residents should take electronics to their building’s drop-off area.,Electronics can also be taken to Drop-Off Depots or Community Environment Days.,Electronic Waste
computer mouse,"Consider donating reusable items. Otherwise, place in a clear plastic bag or open cardboard box and on the ground 0.5 m (2 ft) from your Garbage Bin.",Apartment/condo residents should take electronics to their building’s drop-off area.,Electronics can also be taken to Drop-Off Depots or Community Environment Days.,Electronic Waste
speakers,"Consider donating reusable items. Otherwise, set item out on the ground on garbage collection day 0.5 metre (2 feet) away from your Garbage Bin.",Apartment/condo residents should take electronics to their building’s drop-off area.,Electronics can also be taken to Drop-Off Depots or Community Environment Days.,Electronic Waste
disk drives (internal/external),"Consider donating reusable items. Otherwise, place in a clear plastic bag or open cardboard box and on the ground 0.5 m (2 ft) from your Garbage Bin.",Apartment/condo residents should take electronics to their building’s drop-off area.,Electronics can also be taken to Drop-Off Depots or Community Environment Days.,Electronic Waste
e-book readers/ e-readers,"Consider donating reusable items. Otherwise, place in a clear plastic bag or open cardboard box and on the ground 0.5 m (2 ft) from your Garbage Bin.",Apartment/condo residents should take electronics to their building’s drop-off area.,Electronics can also be taken to Drop-Off Depots or Community Environment Days.,Electronic Waste
ethernet cables/internet cables,"Consider donating reusable items. Otherwise, place in a clear plastic bag or open cardboard box and on the ground 0.5 m (2 ft) from your Garbage Bin.",Apartment/condo residents should take electronics to their building’s drop-off area.,Electronics can also be taken to Drop-Off Depots or Community Environment Days.,Electronic Waste
Kindle,"Consider donating reusable items. Otherwise, place in a clear plastic bag or open cardboard box and on the ground 0.5 m (2 ft) from your Garbage Bin.",Apartment/condo residents should take electronics to their building’s drop-off area.,Electronics can also be taken to Drop-Off Depots or Community Environment Days.,Electronic Waste
Kobo,"Consider donating reusable items. Otherwise, place in a clear plastic bag or open cardboard box and on the ground 0.5 m (2 ft) from your Garbage Bin.",Apartment/condo residents should take electronics to their building’s drop-off area.,Electronics can also be taken to Drop-Off Depots or Community Environment Days.,Electronic Waste
electrical power bars/powerbars,Consider donating reusable items to non-profit organizations.,"Alternatively, this item should be placed in the Garbage Bin.",,Garbage Bin
personal video recorders (PVR),Consider donating reusable items to non-profit organizations.,"Alternatively, set item out on the ground on Garbage collection day 0.5 metre (2 feet) away from your Garbage Bin. Residents of apartments/condos should take electronics to their building’s designated drop-off area.",Electronics can also be taken to Drop-Off Depots or Community Environment Days.,Electronic Waste
audio equalizers,"Consider donating reusable items. Otherwise, set item out on the ground on garbage collection day 0.5 metre (2 feet) away from your Garbage Bin.",Apartment/condo residents should take electronics to their building’s drop-off area.,Electronics can also be taken to Drop-Off Depots or Community Environment Days.,Electronic Waste
fax/facsimile machines,"Consider donating reusable items. Otherwise, set item out on the ground on garbage collection day 0.5 metre (2 feet) away from your Garbage Bin.",Apartment/condo residents should take electronics to their building’s drop-off area.,Electronics can also be taken to Drop-Off Depots or Community Environment Days.,Electronic Waste
electric/electronic musical instruments (wired/wireless),"Consider donating reusable items. Otherwise, set item out on the ground on garbage collection day 0.5 metre (2 feet) away from your Garbage Bin.",Apartment/condo residents should take electronics to their building’s drop-off area.,Electronics can also be taken to Drop-Off Depots or Community Environment Days.,Electronic Waste
electronic keyboards/digital pianos,"Consider donating reusable items. Otherwise, set item out on the ground on garbage collection day 0.5 metre (2 feet) away from your Garbage Bin.",Apartment/condo residents should take electronics to their building’s drop-off area.,Electronics can also be taken to Drop-Off Depots or Community Environment Days.,Electronic Waste
computer notebooks/notepads,"Consider donating reusable items. Otherwise, set item out on the ground on garbage collection day 0.5 metre (2 feet) away from your Garbage Bin.",Apartment/condo residents should take electronics to their building’s drop-off area.,Electronics can also be taken to Drop-Off Depots or Community Environment Days.,Electronic Waste
floor polish/furniture polish,"This item is Household Hazardous Waste (HHW) and MUST NOT be disposed of in the garbage, Blue Bin (recycling) or Green Bin (organics).",Take this item to one of the City's Drop-Off Depots or Community Environment Days.,"For HHW from 10-50 L/kg, you can request a free Toxic Taxi pickup online or by calling 311. In an apartment/condo, building staff need to request pickup.",HHW
computer internal parts/components,"Consider donating reusable items. Otherwise, place in a clear plastic bag or open cardboard box and on the ground 0.5 m (2 ft) from your Garbage Bin.",Apartment/condo residents should take electronics to their building’s drop-off area.,Electronics can also be taken to Drop-Off Depots or Community Environment Days.,Electronic Waste
laptops,"Consider donating reusable items. Otherwise, set item out on the ground on garbage collection day 0.5 metre (2 feet) away from your Garbage Bin.",Apartment/condo residents should take electronics to their building’s drop-off area.,Electronics can also be taken to Drop-Off Depots or Community Environment Days.,Electronic Waste
label/barcode printers,"Consider donating reusable items. Otherwise, place in a clear plastic bag or open cardboard box and on the ground 0.5 m (2 ft) from your Garbage Bin.",Apartment/condo residents should take electronics to their building’s drop-off area.,Electronics can also be taken to Drop-Off Depots or Community Environment Days.,Electronic Waste
hands-free accessories,"Consider donating reusable items. Otherwise, place in a clear plastic bag or open cardboard box and on the ground 0.5 m (2 ft) from your Garbage Bin.",Apartment/condo residents should take electronics to their building’s drop-off area.,Electronics can also be taken to Drop-Off Depots or Community Environment Days.,Electronic Waste
modems,"Consider donating reusable items. Otherwise, place in a clear plastic bag or open cardboard box and on the ground 0.5 m (2 ft) from your Garbage Bin.",Apartment/condo residents should take electronics to their building’s drop-off area.,Electronics can also be taken to Drop-Off Depots or Community Environment Days.,Electronic Waste
digital video recorders (DVR),"Consider donating reusable items. Otherwise, set item out on the ground on garbage collection day 0.5 metre (2 feet) away from your Garbage Bin.",Apartment/condo residents should take electronics to their building’s drop-off area.,Electronics can also be taken to Drop-Off Depots or Community Environment Days.,Electronic Waste
"computer monitors (CRT, LED, LCD etc.)","Consider donating reusable items. Otherwise, set item out on the ground on garbage collection day 0.5 metre (2 feet) away from your Garbage Bin.",Apartment/condo residents should take electronics to their building’s drop-off area.,Electronics can also be taken to Drop-Off Depots or Community Environment Days.,Electronic Waste
pagers,"Consider donating reusable items. Otherwise, place in a clear plastic bag or open cardboard box and on the ground 0.5 m (2 ft) from your Garbage Bin.",Apartment/condo residents should take electronics to their building’s drop-off area.,Electronics can also be taken to Drop-Off Depots or Community Environment Days.,Electronic Waste
musical instruments with built-in electronics,"Consider donating reusable items. Otherwise, set item out on the ground on garbage collection day 0.5 metre (2 feet) away from your Garbage Bin.",Apartment/condo residents should take electronics to their building’s drop-off area.,Electronics can also be taken to Drop-Off Depots or Community Environment Days.,Electronic Waste
Personal Digital Assistant (PDA),"Consider donating reusable items. Otherwise, place in a clear plastic bag or open cardboard box and on the ground 0.5 m (2 ft) from your Garbage Bin.",Apartment/condo residents should take electronics to their building’s drop-off area.,Electronics can also be taken to Drop-Off Depots or Community Environment Days.,Electronic Waste
digital photo frames,"Consider donating reusable items. Otherwise, place in a clear plastic bag or open cardboard box and on the ground 0.5 m (2 ft) from your Garbage Bin.",Apartment/condo residents should take electronics to their building’s drop-off area.,Electronics can also be taken to Drop-Off Depots or Community Environment Days.,Electronic Waste
photocopiers,"Consider donating reusable items. Otherwise, set item out on the ground on garbage collection day 0.5 metre (2 feet) away from your Garbage Bin.",Apartment/condo residents should take electronics to their building’s drop-off area.,Electronics can also be taken to Drop-Off Depots or Community Environment Days.,Electronic Waste
Xerox copiers,"Consider donating reusable items. Otherwise, set item out on the ground on garbage collection day 0.5 metre (2 feet) away from your Garbage Bin.",Apartment/condo residents should take electronics to their building’s drop-off area.,Electronics can also be taken to Drop-Off Depots or Community Environment Days.,Electronic Waste
pedal boards/pedalboards,"Consider donating reusable items. Otherwise, set item out on the ground on garbage collection day 0.5 metre (2 feet) away from your Garbage Bin.",Apartment/condo residents should take electronics to their building’s drop-off area.,Electronics can also be taken to Drop-Off Depots or Community Environment Days.,Electronic Waste
preamplifiers,"Consider donating reusable items. Otherwise, set item out on the ground on garbage collection day 0.5 metre (2 feet) away from your Garbage Bin.",Apartment/condo residents should take electronics to their building’s drop-off area.,Electronics can also be taken to Drop-Off Depots or Community Environment Days.,Electronic Waste
printers,"Consider donating reusable items. Otherwise, set item out on the ground on garbage collection day 0.5 metre (2 feet) away from your Garbage Bin.",Apartment/condo residents should take electronics to their building’s drop-off area.,Electronics can also be taken to Drop-Off Depots or Community Environment Days.,Electronic Waste
radios,"Consider donating reusable items. Otherwise, set item out on the ground on garbage collection day 0.5 metre (2 feet) away from your Garbage Bin.",Apartment/condo residents should take electronics to their building’s drop-off area.,Electronics can also be taken to Drop-Off Depots or Community Environment Days.,Electronic Waste
amplifiers,"Consider donating reusable items. Otherwise, set item out on the ground on garbage collection day 0.5 metre (2 feet) away from your Garbage Bin.",Apartment/condo residents should take electronics to their building’s drop-off area.,Electronics can also be taken to Drop-Off Depots or Community Environment Days.,Electronic Waste
receivers,"Consider donating reusable items. Otherwise, set item out on the ground on garbage collection day 0.5 metre (2 feet) away from your Garbage Bin.",Apartment/condo residents should take electronics to their building’s drop-off area.,Electronics can also be taken to Drop-Off Depots or Community Environment Days.,Electronic Waste
electronic tuners,"Consider donating reusable items. Otherwise, place in a clear plastic bag or open cardboard box and on the ground 0.5 m (2 ft) from your Garbage Bin.",Apartment/condo residents should take electronics to their building’s drop-off area.,Electronics can also be taken to Drop-Off Depots or Community Environment Days.,Electronic Waste
stereos/stereo systems,"Consider donating reusable items. Otherwise, set item out on the ground on garbage collection day 0.5 metre (2 feet) away from your Garbage Bin.",Apartment/condo residents should take electronics to their building’s drop-off area.,Electronics can also be taken to Drop-Off Depots or Community Environment Days.,Electronic Waste
smart glasses,"Consider donating reusable items. Otherwise, place in a clear plastic bag or open cardboard box and on the ground 0.5 m (2 ft) from your Garbage Bin.",Apartment/condo residents should take electronics to their building’s drop-off area.,Electronics can also be taken to Drop-Off Depots or Community Environment Days.,Electronic Waste
small satellite dishes,"Consider donating reusable items. Otherwise, set item out on the ground on garbage collection day 0.5 metre (2 feet) away from your Garbage Bin.",Apartment/condo residents should take electronics to their building’s drop-off area.,Electronics can also be taken to Drop-Off Depots or Community Environment Days.,Electronic Waste
phones,"Consider donating reusable items. Otherwise, place in a clear plastic bag or open cardboard box and on the ground 0.5 m (2 ft) from your Garbage Bin.",Apartment/condo residents should take electronics to their building’s drop-off area.,Electronics can also be taken to Drop-Off Depots or Community Environment Days.,Electronic Waste
telephones,"Consider donating reusable items. Otherwise, place in a clear plastic bag or open cardboard box and on the ground 0.5 m (2 ft) from your Garbage Bin.",Apartment/condo residents should take electronics to their building’s drop-off area.,Electronics can also be taken to Drop-Off Depots or Community Environment Days.,Electronic Waste
turntables/record players,"Consider donating reusable items. Otherwise, set item out on the ground on garbage collection day 0.5 metre (2 feet) away from your Garbage Bin.",Apartment/condo residents should take electronics to their building’s drop-off area.,Electronics can also be taken to Drop-Off Depots or Community Environment Days.,Electronic Waste
televisions/TVs,"Consider donating reusable items. Otherwise, set item out on the ground on garbage collection day 0.5 metre (2 feet) away from your Garbage Bin.",Apartment/condo residents should take electronics to their building’s drop-off area.,Electronics can also be taken to Drop-Off Depots or Community Environment Days.,Electronic Waste
tablets,"Consider donating reusable items. Otherwise, place in a clear plastic bag or open cardboard box and on the ground 0.5 m (2 ft) from your Garbage Bin.",Apartment/condo residents should take electronics to their building’s drop-off area.,Electronics can also be taken to Drop-Off Depots or Community Environment Days.,Electronic Waste
synthesizers,"Consider donating reusable items. Otherwise, set item out on the ground on garbage collection day 0.5 metre (2 feet) away from your Garbage Bin.",Apartment/condo residents should take electronics to their building’s drop-off area.,Electronics can also be taken to Drop-Off Depots or Community Environment Days.,Electronic Waste
electronic typewriters,"Consider donating reusable items. Otherwise, set item out on the ground on garbage collection day 0.5 metre (2 feet) away from your Garbage Bin.",Apartment/condo residents should take electronics to their building’s drop-off area.,Electronics can also be taken to Drop-Off Depots or Community Environment Days.,Electronic Waste
DVD (Digital Versatile Disc) players,"Consider donating reusable items. Otherwise, set item out on the ground on garbage collection day 0.5 metre (2 feet) away from your Garbage Bin.",Apartment/condo residents should take electronics to their building’s drop-off area.,Electronics can also be taken to Drop-Off Depots or Community Environment Days.,Electronic Waste
digital visualizers,"Consider donating reusable items. Otherwise, place in a clear plastic bag or open cardboard box and on the ground 0.5 m (2 ft) from your Garbage Bin.",Apartment/condo residents should take electronics to their building’s drop-off area.,Electronics can also be taken to Drop-Off Depots or Community Environment Days.,Electronic Waste
VCR (Video Cassette Recorder) players,"Consider donating reusable items. Otherwise, set item out on the ground on garbage collection day 0.5 metre (2 feet) away from your Garbage Bin.",Apartment/condo residents should take electronics to their building’s drop-off area.,Electronics can also be taken to Drop-Off Depots or Community Environment Days.,Electronic Waste
video cameras/camcorders,"Consider donating reusable items. Otherwise, place in a clear plastic bag or open cardboard box and on the ground 0.5 m (2 ft) from your Garbage Bin.",Apartment/condo residents should take electronics to their building’s drop-off area.,Electronics can also be taken to Drop-Off Depots or Community Environment Days.,Electronic Waste
adding machine (with battery and/or electric cable),"Consider donating reusable items. Otherwise, place in a clear plastic bag or open cardboard box and on the ground 0.5 m (2 ft) from your Garbage Bin.",Apartment/condo residents should take electronics to their building’s drop-off area.,Electronics can also be taken to Drop-Off Depots or Community Environment Days.,Electronic Waste
hard drives,"Consider donating reusable items. Otherwise, place in a clear plastic bag or open cardboard box and on the ground 0.5 m (2 ft) from your Garbage Bin.",Apartment/condo residents should take electronics to their building’s drop-off area.,Electronics can also be taken to Drop-Off Depots or Community Environment Days.,Electronic Waste
